Území;Sudety;% dětí;% dětí v neúplných rodinách;% v produktivním věku;% nad 65;Průměrný věk mužů;Průměrný věk žen;% v manželství;% rozvedených;% ovdovělých;% Pavel Petr – 2. kolo;% Babiš Andrej – 2. kolo;% Volební účast v 2. kole;% bez vzdělání;% se základní školou;% s výučním listem;% s maturitou;% vysokoškoláků + VOŠ;% Čechů;% Moravanů + Slezanů;% Slováků;% Poláků;% Němců;% Romů;% Rusů;% Ukrajinců;% Vietnamců;% cizinců;% neuvedená národnost;% zaměstnaných (15-64);% řídící pracovníci;% specialistů;% technických pracovníků;% úředníků;% ve službách a prodeji;% zemědělci, lesníci a rybáři;% řemeslníků;% obsluha strojů / zařízení;% nekvalifikovaných pracovníků;% v ozbrojených silách;% neznámý sektor práce;% zaměstnanců;% zaměstnavatelů;% podnikatelů bez zaměstnanců;% neznámý pracovní poměr;% žen 15+;Plodnost ženy (odhad);% v církvi;% věřících mimo církve
Valašské Klobouky;0;16.04;16.45;64.02;19.94;41;44.6;43.68;6.88;8.13;55.94;44.05;70.22;0.39;14.44;38.97;28.09;12.76;55.9;16.53;1.22;0.06;0.03;0;0.03;0.1;0.05;1.49;26.08;75.12;2.69;8.79;9.26;3.20;9.27;1.01;16.10;12.56;3.65;0.17;8.43;55.82;0.92;13.02;5.36;50.10;1.87902173913043;54.7549378200439;8.65032918800293
Valašské Meziříčí;0;16.45;23.43;63.06;20.49;41;44.5;40.22;10.52;7.29;56.5;43.49;71.13;0.52;11.89;34.49;32.63;16.51;59.88;9.38;1.18;0.16;0.06;0.12;0.02;0.18;0.11;1.83;28.91;78.48;3.57;12.71;12.46;4.38;9.98;0.69;10.92;12.49;3.45;0.25;7.58;61.70;1.17;9.86;5.75;51.02;1.68119898838947;24.1295665596746;10.9842452159851
Varnsdorf;1;16.05;34.55;61.33;22.62;42.1;44.6;34.9;13.22;7.13;42.46;57.53;64.03;0.92;16.60;36.23;28.20;8.70;59.17;0.23;1.38;0.43;0.86;0.4;0.09;0.24;0.59;3.99;36.61;73.01;2.62;8.46;9.48;3.96;10.08;0.53;11.31;12.63;4.13;0.14;9.68;55.18;1.02;8.33;8.48;51.35;1.64992704280156;4.80683545630864;6.23787807307229
Velké Meziříčí;0;17.48;18.67;64;18.52;40;43;42.86;8.22;6.8;59.42;40.57;74.81;0.47;12.25;36.84;30.49;15.86;56.13;14.83;0.55;0.02;0.05;0.01;0.06;0.41;0.11;1.19;27.83;78.24;3.71;11.58;12.39;4.84;9.16;1.54;12.60;11.57;3.46;0.21;7.18;62.55;0.91;10.00;4.79;50.64;1.7671483750666;34.0067902265264;11.3485835142205
Veselí nad Moravou;0;13.78;21.06;63.01;23.20;43.2;46.9;43.66;9.33;8.16;51.64;48.35;70.19;0.50;14.25;38.04;29.47;13.06;52.14;25.83;1.42;0.03;0.04;0.09;0.04;0.19;0.1;1.92;20.12;75.45;3.09;9.65;10.04;3.67;9.78;1.35;13.08;12.81;3.96;0.30;7.72;58.62;1.10;10.06;5.68;51.15;1.71937866055513;38.5204941044357;11.3110612015722
Vimperk;1;15.72;25.35;62.39;21.89;42.4;45.2;39.87;10.73;7.89;59.43;40.56;70;0.69;14.01;35.98;29.50;13.64;62.19;0.32;0.9;0.05;0.43;0.06;0.08;0.45;0.52;2.49;35;77.88;2.98;9.32;10.38;3.73;11.01;2.10;12.88;11.16;4.23;0.55;9.56;52.95;1.01;11.78;12.14;50.48;1.65045719035744;13.3089708829424;10.3913709772486
Vítkov;0;16.34;25.74;61.23;22.42;42.2;45.2;37.19;11.13;8.27;37.89;62.1;65.33;1.39;17.50;39.11;24.89;9.97;56.63;8.59;1.22;0.14;0.23;0.78;0.01;0.13;0.14;2.65;32.13;72.36;2.70;8.41;8.48;4.85;9.55;2.10;8.87;13.04;4.26;0.77;9.34;57.71;0.90;7.34;6.41;50.33;1.81540751767771;17.4410405077176;9.59022173470187
Vizovice;0;16.62;17.31;63.77;19.61;41.3;43.6;43.05;9.08;6.96;60;39.99;73.07;0.36;13.69;36.42;28.97;15.18;57.65;14.37;1.18;0.08;0.04;0.04;0.01;0.11;0.02;1.48;26.5;80.11;4.28;11.31;12.10;5.11;8.85;0.86;12.43;12.14;4.14;0.07;8.82;63.23;0.80;11.34;4.73;50.66;1.63495449374289;31.1629024507448;10.8361364728496
Vlašim;0;16.16;22.75;61.11;22.73;42.3;45;41.43;9.76;7.89;55.23;44.76;73.24;0.39;11.72;36.25;32.38;14.19;64.55;0.2;0.63;0.11;0.07;0.07;0.05;0.37;0.14;1.44;33.81;81.19;3.68;11.73;12.57;4.75;10.35;1.75;12.33;11.16;4.31;0.11;8.45;63.29;0.97;11.18;5.75;50.59;1.70621599188416;18.8514650080194;10.0614168916011
Vodňany;0;15.85;26.07;63.79;20.36;41.4;44;38.99;11.35;7.82;52.69;47.3;69.93;0.43;13.64;36.91;28.98;13.45;59.87;0.15;0.88;0.03;0.05;0.24;0.11;1.74;0.46;3.51;36.47;78.92;2.84;9.78;10.01;4.53;9.62;2.17;12.74;12.77;4.35;0.63;9.49;60.31;0.98;10.03;7.60;50.08;1.63425076452599;12.9295532646048;10.798969072165
Votice;0;16.51;21.88;61.01;22.48;42.3;45.1;40.08;10.14;8.28;52.77;47.22;72.08;1.58;12.79;38.70;29.98;12.16;63.16;0.17;0.66;0.06;0.06;0.01;0.05;0.41;0.1;1.36;35.32;78.17;3.35;10.46;11.60;5.13;11.09;2.12;12.16;10.79;3.50;0.21;7.76;58.72;0.83;12.99;5.64;50.77;1.68377201287635;14.6801508949354;10.4261979292078
Vrchlabí;1;16.24;28.21;61.5;22.26;42.1;44.9;37;12.85;7.56;66.33;33.66;74.12;0.60;14.99;37.33;29.26;12.15;63.33;0.25;0.95;0.2;0.2;0.07;0.05;0.45;0.21;2.13;34.29;79.95;3.69;9.82;11.36;4.62;12.51;0.99;9.62;13.28;4.14;0.07;9.83;61.72;1.07;11.76;5.40;50.82;1.62465668468149;6.29832170469546;6.76975297001697
Vsetín;0;15.42;22.48;63.41;21.17;41.9;45.3;40.03;10.18;7.88;57.68;42.31;69.91;0.53;13.57;35.52;31.28;14.46;58.12;9.27;1.05;0.08;0.04;0.38;0.04;0.24;0.06;1.88;30.72;77.11;3.15;10.78;11.03;3.76;9.67;1.09;13.27;12.39;3.71;0.13;8.13;59.89;0.94;10.79;5.49;51.05;1.69097093840124;29.571394365073;9.65120919466837
Vysoké Mýto;0;16.44;22.7;62.26;21.30;41.4;44.5;39.98;10.96;7.26;59.09;40.9;73.72;0.50;11.09;36.57;32.37;14.23;64.32;0.37;0.88;0.09;0.06;0.46;0.05;0.73;0.14;2.41;32.9;81.00;3.54;12.01;11.82;4.87;9.14;0.98;12.68;13.11;3.72;0.21;8.93;66.69;0.85;8.37;5.09;50.66;1.67465753424658;12.6059689262866;7.87242759446598
Vyškov;0;16.82;22.46;62.52;20.66;41.2;44.2;40.58;10.89;7.17;52.28;47.71;71.3;0.43;12.56;33.83;30.35;17.96;51.92;21.87;1.57;0.06;0.07;0.09;0.06;0.48;0.1;2.43;23.78;79.82;3.53;13.12;13.02;5.12;9.80;0.67;11.25;10.45;3.86;1.29;7.73;62.02;0.80;10.42;6.58;51.23;1.6393472513447;15.6051512149642;9.77410018841171
Zábřeh;0;16.4;23.49;61.34;22.25;42.1;44.9;40.87;10.29;7.72;49.76;50.23;71.49;0.42;13.82;37.66;29.35;13.61;56.67;15.53;0.82;0.09;0.1;0.11;0.02;0.07;0.07;1.31;26.52;76.88;2.89;10.21;11.31;4.50;9.86;0.84;12.38;13.10;4.01;0.24;7.53;62.71;0.89;7.78;5.51;51.34;1.72227848101266;16.9854082583049;9.61502638932009
Zlín;0;15.51;24.21;62.19;22.30;42;45.6;40;11.75;7.35;62.08;37.91;72.26;0.40;11.85;28.65;32.20;22.63;61.28;14.06;1.24;0.06;0.06;0.03;0.1;0.26;0.13;1.88;22.78;81.87;4.66;17.01;14.89;5.17;10.49;0.44;9.11;8.56;3.44;0.12;7.98;62.71;0.82;11.71;6.63;51.94;1.51449998839072;21.7409467913839;11.8359112306658
Znojmo;0;16.28;24.82;63.13;20.60;41.3;44.1;39.21;10.95;7.09;44.41;55.58;68.93;0.90;16.17;37.54;27.40;12.51;54.01;16.14;1.17;0.06;0.09;0.08;0.06;0.24;0.38;2.09;27.77;74.16;3.01;9.63;9.21;4.07;12.43;1.86;10.57;10.56;5.03;0.18;7.62;52.86;0.91;8.84;11.55;50.99;1.70546877030645;14.9381921480725;10.3342284560243
Žamberk;0;17.18;21.53;62.6;20.22;41.1;43.4;41.55;9.94;6.42;66.75;33.24;75.85;0.95;12.44;36.16;31.76;14.26;64.32;0.38;0.75;0.25;0.08;0.06;0.05;0.6;0.08;1.87;33.43;80.38;3.93;11.17;12.18;4.91;9.52;1.43;12.93;12.04;3.58;0.31;8.38;63.57;0.87;10.63;5.31;50.03;1.7727079072938;17.031492727016;9.80087558254484
Žatec;1;16.42;33.43;64.09;19.49;40.9;43.2;35.04;12.89;6.94;39.77;60.22;67.05;1.42;17.33;32.68;28.17;12.19;63.14;0.24;1.71;0.08;0.23;0.31;0.12;0.55;0.43;3.43;33.19;74.53;3.17;9.55;10.90;4.83;9.74;1.05;7.19;12.99;4.07;1.42;9.61;57.02;1.00;7.97;8.54;50.21;1.63137428192665;6.47159175196558;6.41967067200712
Žďár nad Sázavou;0;16.08;19.32;62.61;21.31;41.9;44.8;43.47;9.34;7.13;61.7;38.29;74.81;0.35;11.64;34.32;33.18;17.08;64.78;7.64;0.63;0.04;0.03;0.06;0.04;0.39;0.11;1.29;26.28;79.19;3.54;13.12;13.45;4.51;9.29;1.44;12.09;10.79;3.24;0.31;7.41;62.20;1.06;10.42;5.51;50.77;1.75220207989998;27.3645212843237;9.25468545692285
Železný Brod;0;16.37;22.6;59.84;23.79;42.7;45.4;41.08;11.52;7.16;61.96;38.03;72.36;0.47;12.51;35.98;32.06;13.16;63.13;0.15;1.12;0.44;0.15;0.06;0.09;1.37;0.26;3.49;33.23;80.62;3.77;11.18;11.20;4.46;8.97;0.60;13.02;13.38;3.41;0.26;10.37;59.83;1.17;12.88;6.74;50.97;1.62790697674419;7.25517005640062;7.73372073149889
Židlochovice;0;18.98;16.7;63.13;17.89;39.4;42.1;41.07;9.32;6.49;59.59;40.4;74.01;0.41;13.22;35.21;28.74;17.63;51.3;24.18;1.61;0.08;0.08;0.08;0.13;0.66;0.09;2.73;21.79;79.67;4.37;13.53;13.24;6.62;9.63;0.84;10.67;9.61;3.32;0.16;7.68;62.87;0.73;10.71;5.36;50.86;1.59171426505676;20.4611809569207;11.2524578442472
